# fleet-roster.tsv — production OpenClaw agents reviewed by bin/fleet-review.sh
# Model is resolved at runtime from ~/.openclaw/openclaw.json (single source of
# truth); only role/team/channel are editorial and live here.
# Columns (tab-separated): agent  team  channel  role
ping	work	discord	SEO & content — owns Adventures Of blog engine end-to-end (research, draft, SEO pass, PR, deploy)
bloop	work	discord	design engineer (Opus + codex subagents) — landing pages, UI builds, visual assets; works with Shweta
dash	work	discord	ops — outbound pipeline (remy@/aria@ inboxes), support backstop, daily standup, ad ops
isaac	work	discord	engineer — code-heavy portfolio/client work, technical escalations
zara	personal	telegram	chief of staff (personal) — inbox & calendar triage, morning rundown, drafting on Ani's behalf
# sleeping since 2026-07-29 (workflows ported to discord fleet): kai	personal	telegram	builder — iOS/OSS tasks, coding, technical fiddles
# sleeping since 2026-07-29 (workflows ported to discord fleet): nova	personal	telegram	research — deep research and synthesis
# sleeping since 2026-07-29 (workflows ported to discord fleet): remy	personal	telegram	unassigned — no current mandate
# sleeping since 2026-07-29 (workflows ported to discord fleet): aria	personal	telegram	support — customer support handling
codex	special	internal	Codex worker — execution specialist spawned by Opus agents when Claude Max is exhausted or for heavy build loops
